trial,reward,bucket_dtheta,bucket_dx,bucket_theta,bucket_x,df,df_decay,df_min,er,er_decay,er_min,lr,lr_decay,lr_min
334,239.416,3,6,5,4,0.9306506913370295,0.9954667292222792,0.8507053805020152,0.4503584390787885,0.9859592530094345,0.013927129537093403,0.46017619006475896,0.994297561811796,0.07368072822526874
335,239.03199999999998,3,6,5,3,0.9231462547826101,0.9396537030492653,0.8596642558793152,0.46214967524397393,0.9919082689029575,0.00833669971749546,0.4917530139501886,0.9983258628831194,0.08277020862755463
336,293.44,3,6,5,4,0.9328167592951451,0.9901553021377546,0.8553362910230313,0.4800015124167151,0.987996327865684,0.012235928291649292,0.20629154144273704,0.9964347088855368,0.08510471260105348
337,166.376,3,6,5,4,0.9275509657618205,0.9980955126442872,0.8529772126467556,0.44105069542789893,0.9972492902714148,0.00616603282799315,0.4445692896443745,0.9905442976363577,0.07700142581008974
338,194.11200000000002,3,6,5,4,0.9358686257849468,0.9928318358310485,0.857172295989585,0.45395666814977087,0.990268971437309,0.010432307521223008,0.4740442534230254,0.9302951032659748,0.07907427580266835
339,205.416,3,6,5,4,0.9294582104095704,0.9961864967810028,0.8611048539509194,0.4695321441016312,0.9937945279668113,0.018595309083978787,0.48485677339329375,0.9933571009027046,0.06891449952784456
340,149.456,3,6,5,4,0.926177230896044,0.9295723429333572,0.8803863218089649,0.48403042144239805,0.9836125960651342,0.013254689627318373,0.49963141006206124,0.9664944287141638,0.08937944547833186
341,66.072,3,7,5,4,0.9315201185772127,0.9944780984296427,0.8654262675061115,0.46151419006073857,0.9993238437418602,0.0013085349208314789,0.4594738887624727,0.9109923386637058,0.07205445518168128
342,23.119999999999997,3,6,8,4,0.9277807791358558,0.9999746119860865,0.8713598123707422,0.4474067220663074,0.9869015219011157,0.00965031637770829,0.48183539129414443,0.9981572141025313,0.07451009067529125
343,141.664,5,6,5,5,0.9245666440536702,0.9916725955120562,0.9255269155160787,0.4228672918569273,0.9891159409669665,0.007575321948337059,0.47042910343307404,0.9998898905202345,0.06503017896233945
344,391.448,3,6,5,4,0.9298989288629288,0.9979908062111302,0.8500757029201249,0.47494704224698725,0.9926234138822951,0.021353537482614697,0.49133613041698554,0.9950031654309939,0.0812861570636279
345,307.896,3,6,5,4,0.9383573981957665,0.9974718029681467,0.8509734657672742,0.4776720747125337,0.9950732322205856,0.02168302930453622,0.4762963227162212,0.996588976790399,0.08124076844234873
346,177.78400000000002,3,6,5,4,0.9334060312721073,0.9980328643384627,0.8533620905650867,0.4526324362039398,0.9921472225585217,0.02098197654022904,0.4515989580767732,0.9881886869306409,0.07994162453528972
347,74.58399999999999,3,6,5,4,0.9303631036778898,0.9999467472712273,0.8511733239489754,0.13679658039520373,0.9938645692457334,0.019451475346554052,0.4674902767904512,0.992628032750497,0.08439246701234407
348,361.448,3,6,5,4,0.9351037722677852,0.9963558814011366,0.8500923870431171,0.49041479811346905,0.9915211530871147,0.01678129415957604,0.4918633571623483,0.9949424485507492,0.0866906473294869
349,277.288,3,6,5,4,0.9351175588408953,0.996136560125974,0.8509138421668907,0.4924155764683548,0.9907138101673301,0.01664484947167814,0.4924108009463903,0.9945460352583099,0.08811184096795595
350,120.43199999999999,3,6,5,3,0.9383094121220004,0.9980018662678458,0.8507943052459819,0.4957310253804176,0.9934756638636689,0.01763298503485667,0.4877095965556808,0.9917817779174287,0.08648362642855446
351,162.376,3,6,5,4,0.9350180477730812,0.9963465677507332,0.8501600302519583,0.4893185735385411,0.9962804740180752,0.015917663565906143,0.2264084138272976,0.9953483211170332,0.09432963691956078
352,100.56,2,6,5,4,0.9364368454471521,0.993788839170901,0.8536081663078141,0.4324438456577094,0.9876536657630371,0.022279818960965973,0.494319891579341,0.9999930501288302,0.08263345598164008
353,316.4,3,6,5,4,0.9321691457348674,0.9981072457476605,0.869064366652827,0.4858753517948611,0.990138295747431,0.015152548769389838,0.4828803175863074,0.998190728117845,0.09178947192739043
354,55.976,4,6,5,4,0.9338308090879716,0.9953537699442354,0.8530788764172464,0.43992091145845036,0.985306129469686,0.019414665411173974,0.49953992688545296,0.9899869243163985,0.08573623286343386
355,394.44,3,6,5,4,0.9204795640923011,0.987810738540761,0.8500577721846155,0.47857379691934904,0.9917397336504413,0.013073924080636524,0.4822764706210049,0.9934664888382678,0.08760592749489493
356,258.62399999999997,3,6,5,4,0.916875399524925,0.9877517076057303,0.8522131905273254,0.48027715595149745,0.9964311329032829,0.01341919844971746,0.47734717626801965,0.9926083091856096,0.09004152014855234
357,20.152,3,6,6,4,0.9473717049300043,0.9890323880203293,0.8504874819302064,0.49484697504293546,0.9940905025772699,0.0171535683820158,0.4816211458742996,0.9968150450773755,0.08710753314848703
358,276.296,3,6,5,4,0.9197482867301904,0.9912491838894575,0.8543815150372772,0.47474344757012227,0.9921939196159749,0.01152707358743882,0.46403985298038986,0.9944259356185196,0.08842610926663667
359,307.912,3,6,5,4,0.9193062901864306,0.9937263902440927,0.8523762974249364,0.488815156763083,0.9914451487791777,0.014447523537946788,0.48680341915617953,0.9981896735370662,0.08412298568996156
360,403.096,3,6,5,4,0.9208073746171171,0.9922414575529442,0.8500784408610086,0.45932084030510006,0.9883044149187247,0.012655373595928533,0.4756036366053751,0.9956172737240296,0.08575119281074457
361,427.0,3,6,5,4,0.9221749516286759,0.9892770230215877,0.8551440209615724,0.4576978664347203,0.9870217680471043,0.011244621417570221,0.45498821018752084,0.9966586055277583,0.08217483895562368
362,13.496,3,6,4,4,0.9214553812793373,0.9869877543851956,0.8575486568245676,0.3011906441461747,0.986539994604287,0.011248723825870225,0.4627043069664528,0.9933126257084155,0.08201688603318442
363,243.776,3,6,5,4,0.9188073743288169,0.9883400508433203,0.8640645780603703,0.4630856423145095,0.980358181949536,0.012153623841291983,0.47480197996964596,0.9959876203231623,0.08381253828443484
364,281.55999999999995,3,6,5,4,0.9225343662344399,0.9887946730046862,0.85517054756352,0.4558382239002262,0.9883463443520486,0.009952562177132307,0.47012188682813205,0.9910153687719453,0.08174106500159702
365,322.62399999999997,3,6,5,4,0.921196269734284,0.9903236909022923,0.8596309828781528,0.4667940757117283,0.9888876874946032,0.01299189986323798,0.444915373055231,0.9983408427361771,0.07978955443333315
366,293.28000000000003,3,7,5,4,0.921708444411448,0.9861796186264362,0.8668708763569949,0.45621768279320984,0.9870197360796102,0.009899121270472943,0.477891455981766,0.995749115338818,0.08506230836913362
367,265.104,3,6,5,5,0.9162751816384209,0.9903170157469036,0.8561308973904417,0.4461581423512715,0.9897297366582357,0.011272837980947237,0.46140537924784736,0.9997829548540371,0.08289294478043743
368,354.544,3,6,5,4,0.9234572077528931,0.9920841687790446,0.8614103157707296,0.46914808560860116,0.9941717703322608,0.008446093887658577,0.48134753293606103,0.9933789418687731,0.08929336532396984
369,344.28,3,6,5,4,0.9200479594280554,0.9922346631113439,0.8575616161966488,0.4606625502471588,0.9849216873514823,0.013760548123639523,0.471029930545593,0.9975471524859898,0.08533738531964598
370,76.304,3,6,5,4,0.9183027275875325,0.990472791221859,0.8754566842300222,0.4750438268261815,0.9905171563789948,0.012150533876014094,0.45648894985862365,0.901123490393557,0.08065691530448245
371,420.25600000000003,3,6,5,4,0.9237016384045358,0.9837300800525736,0.9066054233995167,0.3763247628013806,0.9927106066723759,0.009126459690846174,0.4842773216025422,0.9953652768241931,0.0876475059244123
372,162.71200000000002,3,6,5,4,0.9224233969603546,0.9868515264651623,0.8995716947987288,0.37141861627892764,0.9983710377599347,0.005677736054118817,0.4691289503097119,0.9915176538931139,0.09409512723706251
373,290.784,3,6,5,4,0.9238166364676937,0.9854996771115756,0.9019273853305396,0.40487499694296325,0.9957474106904645,0.008908660106394793,0.47835897639186575,0.9889665884164233,0.09086707160729869
374,192.72799999999998,3,6,5,8,0.9204481915349155,0.9239214255774316,0.8629557268828473,0.41644168599193954,0.9931390199745901,0.014219939001149554,0.46336303537597506,0.9946527802695403,0.08803332059850748
375,143.83199999999997,4,6,5,4,0.9245122621551531,0.9887214170906444,0.9047888692729333,0.4769448568489467,0.9927961771893452,0.004566052798659567,0.4854894586504953,0.9925643271143051,0.08730249110658529
376,333.608,3,6,5,4,0.921177478771036,0.9933532553015815,0.8972914481693196,0.4467016649218039,0.9950582548745924,0.008416809415001975,0.4517011457992453,0.9955932220367352,0.07788417948817493
377,390.304,3,6,5,4,0.9181755076440171,0.9895266715909058,0.9126797917133697,0.4657063135713924,0.9912844894453211,0.010814010473641129,0.47495186365646724,0.9966301594848239,0.08579173408819282
378,114.256,3,6,5,3,0.9164482316740042,0.988271699259525,0.9107169420333892,0.2895403161438163,0.9875296718975166,0.010268672516748078,0.476341734656052,0.9968401341280796,0.08588367433122218
379,268.552,3,6,5,4,0.9225527105139397,0.9905168055557318,0.9019584027829392,0.33919503147668206,0.9823874500923163,0.0032195427004585815,0.48597273047619066,0.9999661387574883,0.09263128492902462
380,278.328,2,4,5,4,0.9170822562416637,0.9842875085583408,0.9087892224735488,0.39364127532966436,0.9905033240208447,0.006357954668250674,0.4725023236121401,0.9966221053781432,0.08929652746892668
381,181.712,3,5,5,4,0.9179151455298197,0.9823382195749694,0.9192176222438325,0.4664911581881811,0.9973703862329529,0.01257115279357137,0.4844370864772578,0.993481478066832,0.08756784991222288
382,304.12,3,7,5,4,0.9249752956847302,0.9927326705428456,0.9058763791386765,0.47933258508700594,0.9928428755275082,0.008329457288103824,0.47658223233437197,0.9980532310875403,0.08425176358320882
383,18.976,3,6,4,4,0.9207320386371927,0.9903048629421576,0.9032633517108694,0.0514219733669877,0.9886838933185178,0.014897521207014364,0.48960461025658125,0.9954401171044381,0.08574503501485876
384,409.584,3,6,5,4,0.925086052319563,0.9857243845047691,0.8917480550402861,0.3853621532295866,0.986488856351313,0.010413625840177949,0.46849032196948887,0.9982082377238343,0.09074154689605467
385,94.98400000000001,3,6,5,4,0.9192277446231898,0.9790400676317766,0.8960507570148379,0.3197422167864131,0.9863301619556699,0.07518200167687007,0.48343440410353344,0.95260850647661,0.09092894413796114
386,116.49600000000001,3,6,5,4,0.9226752693569613,0.9853969673441672,0.9135207887278308,0.4018893058234009,0.9839155129799603,0.01288297357285995,0.16968795006459853,0.9908914990829176,0.0976911716264254
387,313.52799999999996,3,6,5,4,0.9248181100600433,0.9830814648955932,0.8866625017842817,0.47249303130493153,0.9861442340097706,0.011178396911428136,0.46719118006163496,0.995945800328346,0.09235917826092732
388,274.288,3,6,5,4,0.9190227447285437,0.9862984875108911,0.9056873651976952,0.4822483293496557,0.9878718560720542,0.007608366801036371,0.49178624864036474,0.9933126063172917,0.08933776960622407
389,290.392,3,6,5,4,0.9259132792212846,0.9885687305994952,0.8841301465616626,0.3701296221142208,0.9912749774069813,0.015039506211696283,0.47468097633008527,0.9999475350888797,0.08995782108603312
390,16.96,3,6,6,4,0.9232860999805784,0.9868716624170185,0.8943468462754143,0.3861278325839407,0.9943728294764668,0.01032096320174763,0.45953507642255015,0.9974700545686911,0.08242948260142044
